60.0,30,0,0,0,0,0,0,0,1374,0.5,0.18333333333333332,41.850000000000001,1141.0636438000004,3.40000000000155e-06,0.0
17.583474,-,[1361],0,rejected,no,118,0
17.625141,-,[1415],0,rejected,no,119,0
17.666808,-,[350],0,rejected,no,121,0
17.708475,-,[1380],0,rejected,no,122,0
17.750142,-,[171],0,rejected,no,124,0
17.791809,-,[314],0,rejected,no,126,0
17.833476,-,[1385],0,rejected,no,127,0
17.875143,-,[1412],0,rejected,no,128,0
17.91681,-,[155],0,rejected,no,130,0
17.958477,-,[1163],0,rejected,no,131,0
18.000144,-,[1080],0,rejected,no,132,0
18.041811,-,[554],0,rejected,no,136,0
18.083478,-,[1252],0,rejected,no,137,0
18.125145,-,[1394],0,rejected,no,138,0
18.166812,-,[316],0,rejected,no,140,0
18.208479,-,[1239],0,rejected,no,141,0
18.250146,-,[1315],0,rejected,no,142,0
18.291813,-,[186],0,rejected,no,144,0
18.33348,-,[1232],0,rejected,no,145,0
18.375147,-,[1360],0,rejected,no,146,0
18.416814,-,[176],0,rejected,no,148,0
18.458481,-,[1477],0,rejected,no,149,0
18.500148,-,[1393],0,rejected,no,150,0
18.541815,-,[515],0,rejected,no,154,0
18.583482,-,[107],0,rejected,no,156,0
18.625149,-,[1414],0,rejected,no,157,0
18.666816,-,[542],0,rejected,no,159,0
18.708483,-,[1419],0,rejected,no,160,0
18.75015,-,[1362],0,rejected,no,161,0
18.791817,-,[532],0,rejected,no,163,0
18.833484,-,[1406],0,rejected,no,164,0
18.875151,-,[69],0,rejected,no,166,0
18.916818,-,[334],0,rejected,no,168,0
18.958485,-,[1296],0,rejected,no,169,0
19.000152,-,[1258],0,rejected,no,170,0
19.041819,-,[663],0,rejected,no,174,0
19.083486,-,[1394],0,rejected,no,175,0
19.125153,-,[123],0,rejected,no,177,0
19.16682,-,[309],0,rejected,no,179,0
19.208487,-,[1391],0,rejected,no,180,0
19.250154,-,[1480],0,rejected,no,181,0
19.291821,-,[539],0,rejected,no,183,0
19.333488,-,[156],0,rejected,no,185,0
